Rank,Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
3.0,Cristhian Mosquera,Centre-Back,20,"['Spain', 'Colombia']",Valencia CF,2023,30000000.0,Spain
34.0,Yarek Gasiorowski,Centre-Back,19,"['Spain', 'Poland']",Valencia CF,2023,15000000.0,Spain
15.0,Cenk Özkacar,Centre-Back,23,Türkiye,Real Valladolid CF,2023,4000000.0,Türkiye
4.0,Mouctar Diakhaby,Centre-Back,27,"['Guinea', 'France']",Valencia CF,2023,2000000.0,Guinea
5.0,Gabriel Paulista,Centre-Back,33,"['Brazil', 'Spain']",Besiktas JK,2023,2000000.0,Brazil
,César Tárrega,Centre-Back,22,Spain,Valencia CF,2023,1500000.0,Spain
,Rubén Iranzo,Centre-Back,21,Spain,Valencia Mestalla,2023,300000.0,Spain
14.0,José Gayà,Left-Back,29,Spain,Valencia CF,2023,25000000.0,Spain
21.0,Jesús Vázquez,Left-Back,21,Spain,Valencia CF,2023,3000000.0,Spain
12.0,Thierry Correia,Right-Back,25,"['Portugal', 'Cape Verde']",Valencia CF,2023,6000000.0,Portugal
20.0,Dimitri Foulquier,Right-Back,31,"['Guadeloupe', 'France']",Valencia CF,2023,2500000.0,Guadeloupe
18.0,Pepelu,Defensive Midfield,25,Spain,Valencia CF,2023,22000000.0,Spain
6.0,Hugo Guillamón,Defensive Midfield,24,Spain,Valencia CF,2023,8000000.0,Spain
8.0,Javi Guerra,Central Midfield,21,Spain,Valencia CF,2023,20000000.0,Spain
,Ali Fadal,Central Midfield,20,Ghana,Colorado Rapids,2023,100000.0,Ghana
,Javi Navarro,Central Midfield,20,Spain,Valencia Mestalla,2023,25000.0,Spain
10.0,André Almeida,Attacking Midfield,24,Portugal,Valencia CF,2023,15000000.0,Portugal
19.0,Selim Amallah,Attacking Midfield,27,"['Morocco', 'Belgium']",Real Valladolid CF,2023,1500000.0,Morocco
27.0,Pablo Gozálbez,Attacking Midfield,23,Spain,FC Arouca,2023,800000.0,Spain
,Martín Tejón,Attacking Midfield,20,Spain,Valencia Mestalla,2023,100000.0,Spain
7.0,Sergi Canós,Left Winger,27,Spain,Valencia CF,2023,2500000.0,Spain
,Marco Camus,Left Winger,22,Spain,Valencia Mestalla,2023,300000.0,Spain
16.0,Diego López,Right Winger,22,Spain,Valencia CF,2023,14000000.0,Spain
23.0,Fran Pérez,Right Winger,21,Spain,Valencia CF,2023,8000000.0,Spain
11.0,Peter Federico,Right Winger,21,"['Dominican Republic', 'Spain']",Getafe CF,2023,3000000.0,Dominican Republic
,David Otorbi,Right Winger,16,"['Spain', 'Nigeria']",Valencia Mestalla,2023,500000.0,Spain
,Hugo González,Right Winger,21,Spain,RC Celta Fortuna,2023,300000.0,Spain
9.0,Hugo Duro,Centre-Forward,24,Spain,Valencia CF,2023,16000000.0,Spain
17.0,Roman Yaremchuk,Centre-Forward,28,Ukraine,Olympiacos Piraeus,2023,3500000.0,Ukraine
22.0,Alberto Marí,Centre-Forward,22,Spain,Real Zaragoza,2023,1500000.0,Spain
,Mario Dominguez,Centre-Forward,20,Spain,Valencia Mestalla,2023,200000.0,Spain
,Joselu Pérez,Centre-Forward,20,Spain,Valencia Mestalla,2023,100000.0,Spain
25.0,Giorgi Mamardashvili,Goalkeeper,24,Georgia,,2024,30000000.0,Georgia
13.0,Stole Dimitrievski,Goalkeeper,31,"['North Macedonia', 'Spain']",,2024,2500000.0,North Macedonia
1.0,Jaume Doménech,Goalkeeper,34,Spain,,2024,400000.0,Spain
3.0,Cristhian Mosquera,Centre-Back,20,"['Spain', 'Colombia']",,2024,30000000.0,Spain
15.0,César Tárrega,Centre-Back,23,Spain,,2024,10000000.0,Spain
24.0,Yarek Gasiorowski,Centre-Back,20,"['Spain', 'Poland']",,2024,7500000.0,Spain
4.0,Mouctar Diakhaby,Centre-Back,28,"['Guinea', 'France']",,2024,2000000.0,Guinea
14.0,José Gayà,Left-Back,30,Spain,,2024,9000000.0,Spain
21.0,Jesús Vázquez,Left-Back,22,Spain,,2024,3000000.0,Spain
19.0,Max Aarons,Right-Back,25,"['England', 'Jamaica']",,2024,6000000.0,England
,Thierry Correia,Right-Back,26,"['Portugal', 'Cape Verde']",,2024,3000000.0,Portugal
20.0,Dimitri Foulquier,Right-Back,32,"['Guadeloupe', 'France']",,2024,1500000.0,Guadeloupe
5.0,Enzo Barrenechea,Defensive Midfield,24,Argentina,,2024,10000000.0,Argentina
18.0,Pepelu,Defensive Midfield,26,Spain,,2024,9000000.0,Spain
6.0,Hugo Guillamón,Defensive Midfield,25,Spain,,2024,2500000.0,Spain
8.0,Javi Guerra,Central Midfield,22,Spain,,2024,25000000.0,Spain
10.0,André Almeida,Attacking Midfield,25,Portugal,,2024,10000000.0,Portugal
17.0,Iván Jaime,Attacking Midfield,24,Spain,,2024,5000000.0,Spain
32.0,Martín Tejón,Attacking Midfield,21,Spain,,2024,500000.0,Spain
22.0,Luis Rioja,Left Winger,31,Spain,,2024,2000000.0,Spain
7.0,Sergi Canós,Left Winger,28,Spain,,2024,1000000.0,Spain
16.0,Diego López,Right Winger,23,Spain,,2024,15000000.0,Spain
23.0,Fran Pérez,Right Winger,22,Spain,,2024,3000000.0,Spain
9.0,Hugo Duro,Centre-Forward,25,Spain,,2024,14000000.0,Spain
12.0,Umar Sadiq,Centre-Forward,28,Nigeria,,2024,5000000.0,Nigeria
11.0,Rafa Mir,Centre-Forward,27,Spain,,2024,800000.0,Spain
