Player,Season,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Kike Salas,2324,Spain,DF,Centre-Back,21,23,19,1605.0,17.8,3.0,0.0,3.0,3.0,0.0,0.0,10.0,0.0,0.8,0.8,0.5,1.4,11.0,61.0,16.0,0.17,0.0,0.17,0.17,0.17,0.05,0.03,0.08,0.05,0.08,16.0,5.0,31.3,0.9,0.28,0.19,0.6,12.0,0.0,0.05,2.2,2.2,794.0,1009.0,78.7,13465.0,4857.0,367.0,421.0,87.2,367.0,433.0,84.8,47.0,118.0,39.8,0.8,-0.5,5.0,54.0,6.0,2.0,951.0,54.0,2.0,4.0,7.0,31.0,0.0,0.0,0.0,0.0,4.0,13.0,13.0,0.73,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,23.0,26.0,12.0,3.0,22.0,61.1,14.0,11.0,26.0,67.0,91.0,1.0,1237.0,106.0,33.0,0.0,0.0,7.0,87.5,584.0,1.0,10.0,8.0,751.0,10000000.0,Sevilla FC
Kike Salas,2425,Spain,DF,Centre-Back,22,31,25,2238.0,24.9,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,1.9,1.9,0.6,2.5,7.0,59.0,18.0,0.12,0.08,0.2,0.12,0.2,0.08,0.02,0.1,0.08,0.1,23.0,6.0,26.1,0.92,0.24,0.13,0.5,12.7,0.0,0.08,1.1,1.1,1109.0,1412.0,78.5,21141.0,7603.0,419.0,465.0,90.1,579.0,670.0,86.4,105.0,251.0,41.8,0.9,1.4,6.0,69.0,3.0,1.0,1280.0,129.0,1.0,13.0,9.0,69.0,0.0,0.0,0.0,0.0,3.0,16.0,17.0,0.68,14.0,0.0,0.0,0.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,47.0,28.0,24.0,16.0,7.0,27.0,58.7,19.0,12.0,32.0,79.0,146.0,0.0,1710.0,177.0,27.0,3.0,60.0,2.0,40.0,717.0,0.0,11.0,2.0,1022.0,8000000.0,Sevilla FC
Loïc Bade,2223,France,DF,Centre-Back,22,19,16,1449.0,16.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.1,0.4,7.0,42.0,2.0,0.06,0.0,0.06,0.06,0.06,0.02,0.01,0.02,0.02,0.02,4.0,2.0,50.0,0.25,0.12,0.25,0.5,7.8,0.0,0.07,0.7,0.7,735.0,847.0,86.8,13873.0,4762.0,253.0,273.0,92.7,409.0,445.0,91.9,64.0,105.0,61.0,0.1,-0.1,2.0,40.0,0.0,0.0,829.0,15.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,0.19,2.0,1.0,0.0,0.0,0.0,1.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,27.0,20.0,23.0,3.0,1.0,17.0,56.7,13.0,8.0,23.0,50.0,77.0,0.0,1030.0,117.0,10.0,6.0,66.7,2.0,22.2,609.0,0.0,6.0,2.0,648.0,12000000.0,Sevilla FC
Loïc Bade,2324,France,DF,Centre-Back,23,28,27,2277.0,25.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.9,0.9,0.5,1.3,15.0,76.0,3.0,0.0,0.04,0.04,0.0,0.04,0.04,0.02,0.05,0.04,0.05,14.0,3.0,21.4,0.55,0.12,0.0,0.0,12.7,0.0,0.06,-0.9,-0.9,1113.0,1346.0,82.7,21547.0,8244.0,373.0,411.0,90.8,623.0,701.0,88.9,106.0,199.0,53.3,0.5,0.5,9.0,79.0,1.0,0.0,1308.0,34.0,1.0,18.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,12.0,20.0,0.79,18.0,0.0,0.0,0.0,1.0,4.0,0.16,3.0,0.0,0.0,1.0,0.0,0.0,65.0,41.0,53.0,12.0,0.0,30.0,61.2,19.0,8.0,38.0,103.0,116.0,2.0,1648.0,184.0,24.0,11.0,52.4,10.0,47.6,846.0,1.0,12.0,4.0,1000.0,14000000.0,Sevilla FC
Loïc Bade,2425,France,DF,Centre-Back,24,32,31,2686.0,29.8,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,0.6,0.6,0.7,1.3,11.0,62.0,6.0,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.04,0.02,0.04,13.0,4.0,30.8,0.44,0.13,0.08,0.25,15.0,0.0,0.05,0.4,0.4,1562.0,1822.0,85.7,31207.0,11821.0,536.0,572.0,93.7,856.0,911.0,94.0,164.0,307.0,53.4,0.2,0.3,4.0,94.0,3.0,0.0,1752.0,62.0,1.0,18.0,8.0,6.0,0.0,0.0,0.0,0.0,8.0,9.0,23.0,0.77,20.0,0.0,1.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,47.0,27.0,37.0,10.0,0.0,23.0,74.2,8.0,9.0,29.0,76.0,162.0,2.0,2135.0,284.0,20.0,17.0,77.3,2.0,9.1,1173.0,1.0,17.0,8.0,1463.0,25000000.0,Sevilla FC
Lucas Ocampos,2223,Argentina,"FW,MF",Left Winger,28,19,11,1165.0,12.9,4.0,0.0,4.0,1.0,3.0,3.0,7.0,0.0,4.5,2.1,1.4,3.5,33.0,37.0,113.0,0.31,0.0,0.31,0.08,0.08,0.35,0.11,0.45,0.17,0.27,27.0,6.0,22.2,2.09,0.46,0.04,0.17,16.4,0.0,0.08,-0.5,-1.1,333.0,450.0,74.0,4746.0,848.0,203.0,245.0,82.9,100.0,131.0,76.3,16.0,35.0,45.7,1.3,-1.4,13.0,16.0,12.0,4.0,418.0,27.0,0.0,2.0,26.0,18.0,1.0,0.0,0.0,0.0,5.0,13.0,30.0,2.32,25.0,0.0,2.0,2.0,1.0,2.0,0.15,1.0,0.0,0.0,0.0,1.0,0.0,22.0,14.0,9.0,9.0,4.0,8.0,25.8,23.0,15.0,8.0,30.0,5.0,0.0,632.0,13.0,64.0,25.0,41.0,34.0,55.7,421.0,16.0,40.0,17.0,461.0,12000000.0,Sevilla FC
Lucas Ocampos,2324,Argentina,"FW,MF",Left Winger,29,35,34,2871.0,31.9,4.0,3.0,7.0,3.0,1.0,1.0,8.0,0.0,5.4,4.6,4.5,9.1,117.0,124.0,265.0,0.13,0.09,0.22,0.09,0.19,0.17,0.14,0.31,0.14,0.29,63.0,23.0,36.5,1.97,0.72,0.05,0.13,16.9,0.0,0.07,-1.4,-1.6,837.0,1247.0,67.1,13104.0,3535.0,474.0,591.0,80.2,259.0,378.0,68.5,69.0,170.0,40.6,4.1,-1.5,36.0,52.0,40.0,20.0,1112.0,131.0,2.0,19.0,120.0,124.0,1.0,0.0,1.0,0.0,4.0,51.0,99.0,3.1,74.0,2.0,4.0,11.0,4.0,9.0,0.28,8.0,0.0,0.0,0.0,0.0,1.0,66.0,47.0,22.0,27.0,17.0,29.0,50.0,29.0,33.0,21.0,87.0,29.0,0.0,1718.0,30.0,125.0,48.0,36.9,66.0,50.8,963.0,35.0,99.0,56.0,1171.0,9000000.0,Sevilla FC
Lucien Agoume,2324,France,MF,Defensive Midfield,21,12,9,777.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,0.6,1.5,7.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.17,0.1,0.17,6.0,2.0,33.3,0.69,0.23,0.0,0.0,13.2,0.0,0.14,-0.9,-0.9,301.0,360.0,83.6,5285.0,1424.0,141.0,163.0,86.5,120.0,135.0,88.9,31.0,42.0,73.8,0.3,-0.6,9.0,36.0,5.0,1.0,356.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,2.43,19.0,0.0,2.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,23.0,18.0,7.0,14.0,2.0,9.0,75.0,3.0,5.0,7.0,30.0,8.0,0.0,430.0,17.0,12.0,7.0,87.5,1.0,12.5,221.0,2.0,4.0,4.0,273.0,6000000.0,Sevilla FC
Lucien Agoume,2425,France,MF,Defensive Midfield,22,35,24,2114.0,23.5,1.0,3.0,4.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,2.5,3.3,29.0,135.0,23.0,0.04,0.13,0.17,0.04,0.17,0.04,0.11,0.14,0.04,0.14,10.0,2.0,20.0,0.43,0.09,0.1,0.5,15.0,0.0,0.09,0.1,0.1,1007.0,1236.0,81.5,15958.0,5460.0,545.0,601.0,90.7,357.0,425.0,84.0,79.0,142.0,55.6,1.6,0.5,27.0,126.0,19.0,3.0,1190.0,38.0,6.0,9.0,18.0,6.0,0.0,0.0,0.0,0.0,8.0,16.0,60.0,2.55,57.0,0.0,1.0,0.0,1.0,5.0,0.21,4.0,0.0,0.0,1.0,0.0,0.0,70.0,32.0,23.0,37.0,10.0,27.0,69.2,12.0,19.0,41.0,111.0,42.0,0.0,1481.0,65.0,19.0,22.0,73.3,7.0,23.3,689.0,2.0,26.0,13.0,928.0,8000000.0,Sevilla FC
Lulo Dasilva,2324,Spain,MF,Central Midfield,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000.0,Sevilla FC
Manu Bueno,2223,Spain,MF,Central Midfield,18,2,2,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,1.0,1.0,100.0,0.6,0.6,0.0,0.0,29.2,0.0,0.02,0.0,0.0,52.0,66.0,78.8,952.0,253.0,16.0,19.0,84.2,28.0,29.0,96.6,5.0,11.0,45.5,0.0,-0.1,2.0,5.0,0.0,0.0,64.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,3.0,1.0,5.0,62.5,3.0,0.0,0.0,7.0,2.0,0.0,86.0,3.0,0.0,1.0,33.3,2.0,66.7,48.0,0.0,1.0,0.0,49.0,300000.0,Sevilla FC
Manu Bueno,2324,Spain,MF,Central Midfield,19,4,1,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.1,0.02,0.1,1.0,0.0,0.0,0.77,0.0,0.0,,31.7,0.0,0.03,0.0,0.0,45.0,49.0,91.8,831.0,175.0,16.0,18.0,88.9,21.0,22.0,95.5,6.0,7.0,85.7,0.0,-0.1,2.0,1.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,3.0,100.0,0.0,3.0,0.0,4.0,1.0,0.0,68.0,2.0,0.0,1.0,50.0,1.0,50.0,40.0,0.0,7.0,1.0,53.0,300000.0,Sevilla FC
Manu Bueno,2425,Spain,"MF,FW",Central Midfield,20,9,1,140.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,5.0,5.0,0.64,0.0,0.64,0.64,0.64,0.08,0.0,0.08,0.08,0.08,4.0,1.0,25.0,2.57,0.64,0.25,1.0,26.8,0.0,0.03,0.9,0.9,67.0,74.0,90.5,1082.0,110.0,35.0,38.0,92.1,23.0,25.0,92.0,5.0,6.0,83.3,0.1,0.0,0.0,4.0,1.0,0.0,72.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0,1.0,50.0,1.0,0.0,0.0,4.0,2.0,0.0,91.0,2.0,2.0,1.0,50.0,1.0,50.0,56.0,0.0,2.0,2.0,74.0,1500000.0,Sevilla FC
Marcos Acuña,2223,Argentina,DF,Left-Back,30,30,21,1912.0,21.2,3.0,2.0,5.0,3.0,0.0,0.0,10.0,3.0,1.2,1.2,4.3,5.5,49.0,102.0,94.0,0.14,0.09,0.24,0.14,0.24,0.05,0.2,0.26,0.05,0.26,21.0,5.0,23.8,0.99,0.24,0.14,0.6,25.6,1.0,0.06,1.8,1.8,970.0,1307.0,74.2,18018.0,6997.0,446.0,499.0,89.4,380.0,491.0,77.4,128.0,260.0,49.2,5.7,-2.3,38.0,71.0,38.0,19.0,1048.0,257.0,3.0,14.0,147.0,174.0,34.0,7.0,22.0,0.0,2.0,25.0,65.0,3.04,45.0,14.0,3.0,0.0,0.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,57.0,36.0,34.0,17.0,6.0,30.0,71.4,12.0,11.0,23.0,80.0,36.0,0.0,1523.0,69.0,26.0,26.0,48.1,23.0,42.6,823.0,5.0,29.0,20.0,903.0,10000000.0,Sevilla FC
Marcos Acuña,2324,Argentina,DF,Left-Back,31,21,18,1292.0,14.4,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,1.5,1.8,23.0,59.0,42.0,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13,9.0,4.0,44.4,0.63,0.28,0.11,0.25,27.9,0.0,0.03,0.7,0.7,628.0,847.0,74.1,12126.0,4928.0,260.0,297.0,87.5,262.0,328.0,79.9,94.0,183.0,51.4,2.1,0.5,23.0,52.0,19.0,12.0,672.0,173.0,1.0,11.0,82.0,122.0,19.0,7.0,12.0,0.0,2.0,16.0,49.0,3.42,28.0,15.0,3.0,2.0,1.0,4.0,0.28,1.0,3.0,0.0,0.0,0.0,0.0,33.0,21.0,20.0,12.0,1.0,9.0,64.3,5.0,10.0,4.0,37.0,25.0,0.0,984.0,33.0,10.0,10.0,47.6,8.0,38.1,473.0,4.0,20.0,16.0,546.0,4000000.0,Sevilla FC
Marcão,2223,Brazil,DF,Centre-Back,26,5,4,375.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,187.0,217.0,86.2,3094.0,1265.0,91.0,98.0,92.9,87.0,93.0,93.5,8.0,20.0,40.0,0.0,0.0,0.0,16.0,0.0,0.0,209.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,100.0,0.0,0.0,6.0,8.0,14.0,0.0,255.0,26.0,0.0,1.0,100.0,0.0,0.0,150.0,0.0,8.0,0.0,186.0,7500000.0,Sevilla FC
Marcão,2324,Brazil,DF,Centre-Back,27,7,3,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,176.0,199.0,88.4,3272.0,1364.0,65.0,67.0,97.0,96.0,105.0,91.4,14.0,20.0,70.0,0.1,-0.2,1.0,17.0,0.0,0.0,190.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.01,4.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,5.0,4.0,0.0,6.0,60.0,4.0,2.0,4.0,13.0,11.0,1.0,237.0,18.0,1.0,1.0,33.3,1.0,33.3,129.0,0.0,3.0,0.0,165.0,4000000.0,Sevilla FC
Marcão,2425,Brazil,DF,Centre-Back,28,12,6,552.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,284.0,315.0,90.2,5073.0,2049.0,122.0,125.0,97.6,136.0,146.0,93.2,25.0,37.0,67.6,0.1,0.0,0.0,14.0,0.0,0.0,296.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,6.0,4.0,0.0,3.0,60.0,2.0,3.0,7.0,17.0,29.0,1.0,382.0,58.0,3.0,2.0,40.0,1.0,20.0,216.0,0.0,4.0,3.0,247.0,2000000.0,Sevilla FC
Marko Dmitrović,2223,Serbia,GK,Goalkeeper,30,15,13,1269.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,271.0,508.0,53.3,9990.0,8313.0,33.0,33.0,100.0,111.0,112.0,99.1,127.0,356.0,35.7,0.1,0.0,0.0,22.0,1.0,0.0,330.0,173.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,0.28,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,540.0,455.0,0.0,0.0,,0.0,,268.0,0.0,1.0,0.0,209.0,4000000.0,Sevilla FC
Marko Dmitrović,2324,Serbia,GK,Goalkeeper,31,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,292.0,394.0,74.1,7811.0,5954.0,65.0,65.0,100.0,152.0,153.0,99.3,74.0,174.0,42.5,0.0,0.0,1.0,8.0,0.0,0.0,291.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.23,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,1.0,0.0,1.0,2.0,5.0,0.0,429.0,363.0,0.0,1.0,100.0,0.0,0.0,234.0,0.0,0.0,0.0,190.0,900000.0,Sevilla FC
Matías Árbol,2223,Spain,GK,Goalkeeper,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,Sevilla FC
Matías Árbol,2324,Spain,GK,Goalkeeper,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,Sevilla FC
Miguel Capitas,2324,Spain,MF,Attacking Midfield,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,Sevilla FC
Munir El Haddadi,2223,Morocco,"FW,MF",Right Winger,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000.0,Sevilla FC
Nacho Quintana,2223,Spain,FW,Attacking Midfield,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,Sevilla FC
Nemanja Gudelj,2223,Serbia,"DF,MF",Defensive Midfield,30,34,31,2779.0,30.9,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,1.7,1.7,0.4,2.1,29.0,110.0,6.0,0.1,0.03,0.13,0.1,0.13,0.06,0.01,0.07,0.06,0.07,38.0,9.0,23.7,1.23,0.29,0.08,0.33,25.8,3.0,0.05,1.3,1.3,1445.0,1602.0,90.2,25141.0,8231.0,593.0,639.0,92.8,737.0,781.0,94.4,88.0,134.0,65.7,0.6,0.6,5.0,113.0,6.0,2.0,1527.0,70.0,1.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,30.0,0.97,25.0,1.0,0.0,1.0,0.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,43.0,33.0,22.0,18.0,3.0,20.0,60.6,13.0,10.0,34.0,77.0,102.0,1.0,1911.0,206.0,18.0,3.0,60.0,2.0,40.0,1103.0,0.0,14.0,2.0,1278.0,4000000.0,Sevilla FC
Nemanja Gudelj,2324,Serbia,"DF,MF",Defensive Midfield,31,22,20,1742.0,19.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,0.4,1.2,23.0,73.0,5.0,0.05,0.05,0.1,0.05,0.1,0.04,0.02,0.06,0.04,0.06,19.0,3.0,15.8,0.98,0.15,0.05,0.33,24.1,4.0,0.04,0.2,0.2,914.0,1061.0,86.1,16667.0,5686.0,346.0,374.0,92.5,487.0,535.0,91.0,71.0,114.0,62.3,0.4,0.6,7.0,82.0,2.0,2.0,1011.0,46.0,1.0,14.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,11.0,20.0,1.03,17.0,1.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,31.0,24.0,18.0,10.0,3.0,17.0,54.8,14.0,8.0,27.0,58.0,56.0,0.0,1245.0,90.0,8.0,4.0,66.7,2.0,33.3,662.0,0.0,9.0,4.0,810.0,3500000.0,Sevilla FC
Nemanja Gudelj,2425,Serbia,"MF,DF",Defensive Midfield,32,31,27,2493.0,27.7,1.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,1.6,0.8,0.6,1.5,14.0,64.0,5.0,0.04,0.04,0.07,0.0,0.04,0.06,0.02,0.08,0.03,0.05,22.0,5.0,22.7,0.79,0.18,0.0,0.0,28.8,6.0,0.04,-0.6,-0.8,1192.0,1371.0,86.9,20321.0,6020.0,535.0,568.0,94.2,562.0,613.0,91.7,73.0,146.0,50.0,1.0,0.4,14.0,72.0,7.0,0.0,1260.0,106.0,1.0,9.0,31.0,0.0,23.0,15.0,3.0,0.0,5.0,6.0,34.0,1.23,19.0,11.0,1.0,1.0,2.0,2.0,0.07,0.0,2.0,0.0,0.0,0.0,0.0,42.0,24.0,16.0,22.0,4.0,21.0,60.0,14.0,17.0,27.0,69.0,94.0,1.0,1635.0,143.0,5.0,6.0,66.7,2.0,22.2,736.0,0.0,19.0,3.0,1007.0,3000000.0,Sevilla FC
Pape Gueye,2223,Senegal,MF,Defensive Midfield,23,16,15,1171.0,13.0,1.0,3.0,4.0,1.0,0.0,0.0,6.0,3.0,1.3,1.3,1.2,2.4,9.0,59.0,27.0,0.08,0.23,0.31,0.08,0.31,0.1,0.09,0.18,0.1,0.18,20.0,5.0,25.0,1.54,0.38,0.05,0.2,19.2,0.0,0.06,-0.3,-0.3,447.0,553.0,80.8,8299.0,2200.0,205.0,223.0,91.9,177.0,209.0,84.7,61.0,94.0,64.9,0.9,1.8,10.0,52.0,2.0,1.0,536.0,15.0,1.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,31.0,2.38,22.0,0.0,4.0,3.0,1.0,6.0,0.46,5.0,0.0,0.0,0.0,1.0,0.0,37.0,22.0,13.0,21.0,3.0,16.0,48.5,17.0,16.0,22.0,59.0,10.0,0.0,699.0,24.0,21.0,14.0,60.9,6.0,26.1,403.0,2.0,19.0,11.0,438.0,10000000.0,Sevilla FC
Papu Gómez,2223,Argentina,"FW,MF",Left Winger,34,19,11,1065.0,11.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,1.7,3.1,34.0,82.0,67.0,0.08,0.08,0.17,0.08,0.17,0.12,0.15,0.27,0.12,0.27,22.0,7.0,31.8,1.86,0.59,0.05,0.14,21.4,0.0,0.06,-0.4,-0.4,450.0,535.0,84.1,7565.0,2319.0,242.0,260.0,93.1,157.0,187.0,84.0,43.0,64.0,67.2,2.0,-0.7,14.0,46.0,25.0,6.0,500.0,34.0,2.0,8.0,40.0,13.0,11.0,3.0,2.0,0.0,1.0,6.0,46.0,3.89,38.0,2.0,1.0,2.0,1.0,3.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,3.0,0.0,2.0,20.0,8.0,7.0,4.0,10.0,5.0,0.0,637.0,8.0,27.0,15.0,41.7,14.0,38.9,470.0,6.0,21.0,13.0,513.0,3000000.0,Sevilla FC
Pedro Ortiz,2223,Spain,MF,Central Midfield,21,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,1.0,1.0,100.0,12.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,2.0,0.0,1.0,0.0,1.0,200000.0,Sevilla FC
