Player,Age,Current club,Market value,Nat.,Season,Contract
"['Johan Mojica', 'Left-Back']",30,Villarreal CF,€3.00m,Colombia,2022,"Sep 1, 2022"
"['Alberto Moreno', 'Left-Back']",30,Villarreal CF,€3.00m,Spain,2022,"Jul 9, 2019"
"['Dani Tasende', 'Left-Back']",22,Villarreal CF,€700k,Spain,2022,
"['Carlos Romero', 'Left-Back']",21,Villarreal CF,€100k,Spain,2022,"Jul 1, 2024"
"['Juan Foyth', 'Right-Back']",25,Villarreal CF,€25.00m,Argentina,2022,"Jul 1, 2021"
"['Kiko Femenía', 'Right-Back']",32,Villarreal CF,€2.50m,Spain,2022,"Jul 28, 2022"
"['Sergio Carreira', 'Right-Back']",22,Villarreal CF,€1.50m,Spain,2022,
"['Marcos Sánchez', 'Right-Back']",19,Villarreal CF,€0,Spain,2022,
"['Étienne Capoue', 'Defensive Midfield']",34,Villarreal CF,€3.00m,France,2022,"Jan 4, 2021"
"['Francis Coquelin', 'Defensive Midfield']",32,Villarreal CF,€3.00m,France,2022,"Aug 12, 2020"
"['Dani Parejo', 'Central Midfield']",34,Villarreal CF,€6.00m,Spain,2022,"Aug 12, 2020"
"['Manu Morlanes', 'Central Midfield']",24,Villarreal CF,€4.00m,Spain,2022,"Jul 7, 2021"
"['Manu Trigueros', 'Central Midfield']",31,Villarreal CF,€4.00m,Spain,2022,"Jul 1, 2012"
"['Ramón Terrats', 'Central Midfield']",22,Villarreal CF,€4.00m,Spain,2022,"Jul 1, 2023"
"['Alberto del Moral', 'Central Midfield']",22,Villarreal CF,€1.00m,Spain,2022,
"['Carlo García', 'Central Midfield']",22,Villarreal CF,€800k,Spain,2022,
"['Antonio Pacheco', 'Central Midfield']",21,Villarreal CF,€400k,Spain,2022,
"['Rodri Alonso', 'Central Midfield']",20,Villarreal CF,€100k,Spain,2022,
"['Giovani Lo Celso', 'Attacking Midfield']",27,Villarreal CF,€14.00m,Argentina,2022,"Aug 14, 2022"
"['Arnaut Danjuma', 'Left Winger']",26,Villarreal CF,€25.00m,Netherlands,2022,"Aug 19, 2021"
"['Álex Baena', 'Left Winger']",21,Villarreal CF,€20.00m,Spain,2022,"Aug 1, 2020"
"['Diego Collado', 'Left Winger']",22,Villarreal CF,€1.00m,Spain,2022,
"['Yéremy Pino', 'Right Winger']",20,Villarreal CF,€40.00m,Spain,2022,"Aug 1, 2020"
"['Samuel Chukwueze', 'Right Winger']",24,Villarreal CF,€25.00m,Nigeria,2022,"Nov 1, 2018"
"['Haissem Hassan', 'Right Winger']",21,Villarreal CF,€1.50m,France,2022,"Jul 1, 2023"
"['Nicolas Jackson', 'Centre-Forward']",22,Villarreal CF,€30.00m,Senegal,2022,"Jul 1, 2022"
"['Gerard Moreno', 'Centre-Forward']",31,Villarreal CF,€20.00m,Spain,2022,"Jul 1, 2018"
"['Fer Niño', 'Centre-Forward']",22,Villarreal CF,€3.00m,Spain,2022,"Aug 1, 2020"
"['José Luis Morales', 'Centre-Forward']",35,Villarreal CF,€3.00m,Spain,2022,"Jul 1, 2022"
"['Jorge Pascual', 'Centre-Forward']",20,Villarreal CF,€0,Spain,2022,"Jul 1, 2024"
"['Luiz Júnior', 'Goalkeeper']",24,Villarreal CF,€10.00m,Brazil,2024,"Jun 30, 2030"
"['Diego Conde', 'Goalkeeper']",26,Villarreal CF,€7.50m,Spain,2024,"Jun 30, 2029"
"['Logan Costa', 'Centre-Back']",24,Villarreal CF,€18.00m,Cape Verde,2024,"Jun 30, 2030"
"['Willy Kambwala', 'Centre-Back']",20,Villarreal CF,€4.00m,France,2024,"Jun 30, 2029"
"['Pau Navarro', 'Centre-Back']",20,Villarreal CF,€3.00m,Spain,2024,"Jun 30, 2030"
"['Eric Bailly', 'Centre-Back']",31,Villarreal CF,€2.00m,Cote d'Ivoire,2024,"Jun 30, 2025"
"['Raúl Albiol', 'Centre-Back']",39,Villarreal CF,€1.00m,Spain,2024,"Jun 30, 2025"
"['Sergi Cardona', 'Left-Back']",25,Villarreal CF,€10.00m,Spain,2024,"Jun 30, 2027"
"['Alfonso Pedraza', 'Left-Back']",29,Villarreal CF,€2.50m,Spain,2024,"Jun 30, 2026"
"['Juan Foyth', 'Right-Back']",27,Villarreal CF,€15.00m,Argentina,2024,"Jun 30, 2026"
"['Adrià Altimira', 'Right-Back']",24,Villarreal CF,€1.50m,Spain,2024,"Jun 30, 2026"
"['Kiko Femenía', 'Right-Back']",34,Villarreal CF,€900k,Spain,2024,"Jun 30, 2025"
"['Pape Gueye', 'Defensive Midfield']",26,Villarreal CF,€15.00m,Senegal,2024,"Jun 30, 2028"
"['Santi Comesaña', 'Central Midfield']",28,Villarreal CF,€8.00m,Spain,2024,"Jun 30, 2028"
"['Ramón Terrats', 'Central Midfield']",24,Villarreal CF,€4.00m,Spain,2024,"Jun 30, 2026"
"['Dani Parejo', 'Central Midfield']",36,Villarreal CF,€1.50m,Spain,2024,"Jun 30, 2026"
"['Denis Suárez', 'Attacking Midfield']",31,Villarreal CF,€1.20m,Spain,2024,"Jun 30, 2026"
"['Álex Baena', 'Left Winger']",23,Villarreal CF,€55.00m,Spain,2024,"Jun 30, 2028"
"['Arnaut Danjuma', 'Left Winger']",28,Villarreal CF,€4.00m,Netherlands,2024,"Jun 30, 2026"
"['Yéremy Pino', 'Right Winger']",22,Villarreal CF,€30.00m,Spain,2024,"Jun 30, 2027"
"['Ilias Akhomach', 'Right Winger']",21,Villarreal CF,€15.00m,Morocco,2024,"Jun 30, 2026"
"['Nicolas Pépé', 'Right Winger']",30,Villarreal CF,€6.00m,Cote d'Ivoire,2024,"Jun 30, 2026"
"['Thierno Barry', 'Centre-Forward']",22,Villarreal CF,€20.00m,France,2024,"Jun 30, 2029"
"['Ayoze Pérez', 'Centre-Forward']",31,Villarreal CF,€10.00m,Spain,2024,"Jun 30, 2028"
"['Gerard Moreno', 'Centre-Forward']",33,Villarreal CF,€4.00m,Spain,2024,"Jun 30, 2027"
"['Andrés Ferrari', 'Centre-Forward']",22,Villarreal CF,€1.50m,Uruguay,2024,"Jun 30, 2028"
"['Jorge Pascual', 'Centre-Forward']",22,Villarreal CF,€1.20m,Spain,2024,"Jun 30, 2026"
"['Pau Cabanes', 'Centre-Forward']",20,Villarreal CF,€800k,Spain,2024,"Jun 30, 2028"
